Algorithm,Description,Category,Success,Lambda_Error,Mu_Error,C_Error,RMS_Error,Final_K,Final_C,Final_Tau,Final_R_Tilde,Time_Seconds
LD_LBFGS,Limited-memory BFGS,Gradient-based Local,true,0.00020536610613502667,2.6578566553761947e-8,9.258257125821835e-10,0.0002053661078570181,46050.72744287182,7.771360692025657,0.7907682986336628,0.03138475520495058,19.852657079696655
LD_VAR1,Shifted limited-memory variable-metric 1,Gradient-based Local,true,0.00020536610613502667,2.6578566553761947e-8,9.258257125821835e-10,0.0002053661078570181,46050.72744287182,7.771360692025657,0.7907682986336628,0.03138475520495058,0.40134191513061523
LD_VAR2,Shifted limited-memory variable-metric 2,Gradient-based Local,true,0.00020536610613502667,2.6578566553761947e-8,9.258257125821835e-10,0.0002053661078570181,46050.72744287182,7.771360692025657,0.7907682986336628,0.03138475520495058,0.4017360210418701
LD_TNEWTON,Truncated Newton,Gradient-based Local,true,0.00020536610613502667,2.6578566553761947e-8,9.258257125821835e-10,0.0002053661078570181,46050.72744287182,7.771360692025657,0.7907682986336628,0.03138475520495058,0.4172511100769043
LD_TNEWTON_RESTART,Truncated Newton with restarts,Gradient-based Local,true,0.00020536610613502667,2.6578566553761947e-8,9.258257125821835e-10,0.0002053661078570181,46050.72744287182,7.771360692025657,0.7907682986336628,0.03138475520495058,0.4061241149902344
LD_TNEWTON_PRECOND,Preconditioned truncated Newton,Gradient-based Local,true,0.00020536610613502667,2.6578566553761947e-8,9.258257125821835e-10,0.0002053661078570181,46050.72744287182,7.771360692025657,0.7907682986336628,0.03138475520495058,0.3995058536529541
LD_TNEWTON_PRECOND_RESTART,Preconditioned truncated Newton with restarts,Gradient-based Local,true,0.00020536610613502667,2.6578566553761947e-8,9.258257125821835e-10,0.0002053661078570181,46050.72744287182,7.771360692025657,0.7907682986336628,0.03138475520495058,0.3999481201171875
LN_SBPLX,Subplex (Nelder-Mead variant),Derivative-free Local,true,0.00010596852563864788,2.4600124921468885e-7,8.593564168821373e-11,0.0001059688111788123,24018.18023250342,77.63241399227586,0.7905425741801739,0.0314186138729739,2.2168359756469727
LN_NEWUOA,NEWUOA algorithm,Derivative-free Local,true,0.0001225225579911997,2.22473502882271e-7,1.071393717152388e-10,0.00012252275997208788,27757.06920069229,70.1649264616283,0.7906020011397472,0.031409699829037914,1.7531449794769287
LN_NEWUOA_BOUND,NEWUOA with bound constraints,Derivative-free Local,true,0.00012216795088315464,2.2466528521762207e-7,1.0450311485330068e-10,0.00012216815746130493,27461.846713268947,71.50801594007221,0.7905978124993084,0.03141032812510374,1.6670310497283936
LN_PRAXIS,Principal axis method,Derivative-free Local,true,0.00016081340680577043,1.6429023973097203e-7,1.868622773809259e-10,0.0001608134907269785,36420.17229879291,48.008101866355666,0.7906985190740708,0.03139522213888937,3.351531982421875
LN_NELDERMEAD,Nelder-Mead simplex,Derivative-free Local,true,4.95702996806897e-5,3.1041630752398384e-7,3.4188792277276035e-11,4.957127160683425e-5,11213.482760386201,96.09402929319633,0.7901075522279426,0.0314838671658086,1.0098390579223633
LN_COBYLA,COBYLA algorithm,Derivative-free Local,true,0.00014016997319644508,1.93875381607586e-7,1.3517718304024898e-10,0.00014017010727531744,31671.192270388467,61.362364350095824,0.79065117185019,0.0314023242224715,0.7644009590148926
LN_BOBYQA,BOBYQA algorithm,Derivative-free Local,true,0.00014600666832976003,1.9346021330237535e-7,1.4367468342363006e-10,0.00014600679649807855,32748.884254250297,59.15285851643355,0.7906629374346543,0.03140055938480186,1.9517171382904053
GN_DIRECT,DIRECT algorithm,Global,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.27944016456604
GN_DIRECT_L,DIRECT-L algorithm,Global,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.29574704170227
GN_CRS2_LM,Controlled random search,Global,true,0.00016098133717554148,9.88364092364595e-11,4.038745746930926e-8,0.00016098134224183208,42641.90459700635,0.0456745381459881,0.790746677925813,0.031387998311128054,15.899410963058472
GN_MLSL,Multi-level single-linkage,Global,true,0.00014016997319644508,1.93875381607586e-7,1.3517718304024898e-10,0.00014017010727531744,31671.192270388467,61.362364350095824,0.79065117185019,0.0314023242224715,9.565256118774414
GN_ISRES,Improved stochastic ranking evolution strategy,Global,true,0.00020536610613502667,2.6578566553761947e-8,9.258257125821835e-10,0.0002053661078570181,46050.72744287182,7.771360692025657,0.7907682986336628,0.03138475520495058,9.232268810272217
