gamma,welfare_integral,success,final_consumption_at_T_half,final_redistribution_at_T_half,avg_consumption_utility,avg_redistribution_utility
0.01,-0.5675191456017331,1.0,3.9682130535944324,4.4150969012006314e-7,0.9528153396329854,-13.024083745589573
0.05,10.848985560593691,1.0,20.857641651086958,2.2319627371122804e-6,2.9662868170299483,-11.34129405149888
0.1,2.987796640004829,1.0,20.818026587810284,4.465267030129689e-6,2.9618134690002775,-10.646055554902714
0.2,-10.306147373750898,1.0,20.74746759395498,8.938491485139253e-6,2.9529946021651323,-9.946119290352701
0.3,-21.77855579034661,1.0,20.67616425403403,1.3417997220850205e-5,2.944057039675922,-9.535209209228976
0.4,-31.962386798212858,1.0,20.601946932044388,1.7906759737431367e-5,2.934741363725274,-9.240796547254831
0.5,-69.17478409837534,1.0,3.0519422933491116,2.2077454204861668e-5,0.6441828006693413,-9.10956799395385
0.6,-49.520384440585055,1.0,20.445888724325318,2.6914307246367058e-5,2.9150515652287416,-8.820336235196784
0.7,-57.14392786856339,1.0,20.363334581290005,3.143559288634198e-5,2.9045674629739744,-8.657741374629058
0.8,-64.08560524998573,1.0,20.277180773490006,3.597099881436674e-5,2.893560562181092,-8.514975804051184
0.9,-70.37943315571117,1.0,20.186931074455998,4.0522498640098765e-5,2.881931714973624,-8.387035068326107
1.0,-76.03377943085196,1.0,20.091906763530133,4.509259386146866e-5,2.869551982654184,-8.270364336281402
1.2,-94.0580393722216,1.0,20.10398741615441,5.38988281714256e-5,2.870488890781999,-8.126243045902601
1.5,-107.56187474854718,1.0,19.856699627656383,6.766925178360649e-5,2.836626391997617,-7.871011006843553
2.0,-112.03538080649524,1.0,19.468682450066243,9.17770309774849e-5,2.745325927668301,-7.456498667968451
2.5,-157.35375843191832,1.0,20.585562444280605,0.00011305096132720878,2.819816578149645,-7.356747311869443
3.0,-52.26235863933424,1.0,0.739159567967972,0.0001445210561724829,-0.6825818570510052,-6.596373340378709
3.5,-57.78811448854948,1.0,0.7292639764390652,0.00016826447937181828,-0.6925593556227075,-6.473996498117241
4.0,-24.468534804841255,1.0,0.6554394452570956,0.00019275414740909508,-0.772089689699801,-6.305877810227759
4.5,-6.937202613175358,1.0,0.6263010103992509,0.00021688237803766557,-0.8050712615513134,-6.186778393377287
5.0,12.341002330123542,1.0,0.601565596735492,0.00024102733369730177,-0.8339201661879067,-6.080032951215483
5.5,33.44253416602273,1.0,0.5803490680497725,0.0002651739331806929,-0.8593414536043258,-5.983407414846192
6.0,2.0694324708202005,1.0,0.6116957087888162,0.00028796049122376666,-0.8220104003508002,-5.958855257117533
6.5,80.14357970762114,1.0,0.5455397773688542,0.0003134823100918451,-0.9025217085864558,-5.814107919383791
7.0,105.61130868239005,1.0,0.5310182248809501,0.00033763951987557514,-0.921117137103759,-5.739027974232363
7.5,131.63683147859857,1.0,0.5207051696620097,0.00036168959026740705,-0.9345435089069826,-5.671891968246171
8.0,161.20085029377267,1.0,0.5058636463403856,0.0003859741118706214,-0.9542090931318133,-5.603195113978576
8.5,188.5659267727695,1.0,0.4953621138744759,0.0004101228878502836,-0.9683726415888422,-5.542669733070798
9.0,216.38467671614004,1.0,0.49006195563984384,0.0004340419030291311,-0.9755763502400516,-5.489679969778244
9.5,249.03022547264058,1.0,0.4762960047550463,0.0004584477166650552,-0.9946375534864954,-5.430248805849749
10.0,280.72513702319054,1.0,0.4677808775495926,0.00048261594086782277,-1.0066121329258677,-5.378356574321468
